                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.75023,                 1.6697,                 1.2138,                0.92407,                0.37342,                 0.5764,                 0.4321,                 1.7056,                 2.2903,                 1.5227,             1.4247e-05,             1.4247e-05,             1.4247e-05
                     33,                0.93677,                 1.3607,                 1.5199,                0.92596,                0.37351,                0.49504,                0.35658,                 1.7222,                 2.2947,                 1.5421,             1.3953e-05,             1.3953e-05,             1.3953e-05
                     34,                 1.0094,                 1.2597,                 1.3322,                0.92596,                0.37351,                0.49504,                0.35658,                 1.7222,                 2.2947,                 1.5421,             1.3611e-05,             1.3611e-05,             1.3611e-05
                     35,                0.98398,                 2.1206,                 1.3317,                0.92189,                0.37346,                0.46757,                0.31884,                 1.7105,                  2.309,                 1.5319,             1.3222e-05,             1.3222e-05,             1.3222e-05
                     36,                0.95184,                 1.6756,                  1.283,                0.92189,                0.37346,                0.46757,                0.31884,                 1.7105,                  2.309,                 1.5319,             1.2787e-05,             1.2787e-05,             1.2787e-05
                     37,                0.81039,                 1.4344,                 1.1872,                0.92551,                0.37368,                0.45228,                0.30681,                 1.7165,                   2.32,                 1.5363,             1.2304e-05,             1.2304e-05,             1.2304e-05
                     38,                0.48805,                 1.0905,                0.96274,                0.92551,                0.37368,                0.45228,                0.30681,                 1.7165,                   2.32,                 1.5363,             1.1774e-05,             1.1774e-05,             1.1774e-05
                     39,                0.82262,                 1.0091,                 1.0923,                0.92559,                0.37368,                0.45301,                0.31554,                 1.7208,                 2.3376,                 1.5352,             1.1196e-05,             1.1196e-05,             1.1196e-05
                     40,                0.67368,                 0.9213,                  1.074,                0.92559,                0.37368,                0.45301,                0.31554,                 1.7208,                 2.3376,                 1.5352,             1.0572e-05,             1.0572e-05,             1.0572e-05
                     41,                 1.0653,                 1.3107,                 1.4879,                0.92558,                0.37384,                0.45293,                0.31227,                 1.7234,                 2.3414,                 1.5451,             9.9008e-06,             9.9008e-06,             9.9008e-06
                     42,                0.65289,                0.76324,                 1.0128,                0.92558,                0.37384,                0.45293,                0.31227,                 1.7234,                 2.3414,                 1.5451,             9.1823e-06,             9.1823e-06,             9.1823e-06
                     43,                0.60642,                0.98488,                 1.0649,                0.92845,                0.37393,                0.46632,                0.34095,                 1.7251,                 2.3833,                 1.5505,             8.4166e-06,             8.4166e-06,             8.4166e-06
                     44,                0.61259,                 1.0504,                 1.1283,                0.92845,                0.37393,                0.46632,                0.34095,                 1.7251,                 2.3833,                 1.5505,             7.6039e-06,             7.6039e-06,             7.6039e-06
                     45,                0.59422,                0.79596,                 1.0615,                0.92937,                0.37457,                0.46635,                0.34088,                  1.741,                 2.4022,                 1.5551,              6.744e-06,              6.744e-06,              6.744e-06
                     46,                0.62468,                0.77366,                 0.9804,                0.92937,                0.37457,                0.46635,                0.34088,                  1.741,                 2.4022,                 1.5551,             5.8369e-06,             5.8369e-06,             5.8369e-06
                     47,                0.71959,                0.87232,                 1.1021,                0.92688,                0.37436,                0.49394,                0.35777,                 1.7248,                 2.3849,                 1.5328,             4.8828e-06,             4.8828e-06,             4.8828e-06
                     48,                 0.6382,                0.83909,                 1.0655,                0.92688,                0.37436,                0.49394,                0.35777,                 1.7248,                 2.3849,                 1.5328,             3.8815e-06,             3.8815e-06,             3.8815e-06
                     49,                0.74232,                0.99707,                 1.0329,                0.92708,                0.37388,                0.49356,                0.38889,                  1.713,                 2.3889,                 1.5204,             2.8332e-06,             2.8332e-06,             2.8332e-06
                     50,                0.65455,                0.84149,                 1.0716,                0.92708,                0.37388,                0.49356,                0.38889,                  1.713,                 2.3889,                 1.5204,             1.7376e-06,             1.7376e-06,             1.7376e-06
